Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Image Src
digi-warbler-bundle-001,"Warbler Birding Journal Printable Bundle, Migration Log Kit","<p>Warbler Birding Journal Printable Bundle, Migration Log Kit</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,warbler",TRUE,Title,Default Title,DIGI-WARBLER-BUNDLE-001,0,,9999,continue,manual,9.99,FALSE,
digi-state-california,"California Birding Life List Checklist Printable, Birdwatch Log","<p>California Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-CALIFORNIA,0,,9999,continue,manual,5.99,FALSE,
digi-state-texas,"Texas Birding Life List Checklist Printable, Birdwatch Log","<p>Texas Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-TEXAS,0,,9999,continue,manual,5.99,FALSE,
digi-state-florida,"Florida Birding Life List Checklist Printable, Birdwatch Log","<p>Florida Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-FLORIDA,0,,9999,continue,manual,5.99,FALSE,
digi-state-new-york,"New York Birding Life List Checklist Printable, Birdwatch Log","<p>New York Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-NEW-YORK,0,,9999,continue,manual,5.99,FALSE,
digi-state-washington,"Washington Birding Life List Checklist Printable, Birdwatch Log","<p>Washington Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-WASHINGTON,0,,9999,continue,manual,5.99,FALSE,
digi-state-colorado,"Colorado Birding Life List Checklist Printable, Birdwatch Log","<p>Colorado Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-COLORADO,0,,9999,continue,manual,5.99,FALSE,
digi-state-north-carolina,"North Carolina Birding Life List Checklist Printable, Birdwatch Log","<p>North Carolina Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-NORTH-CAROLINA,0,,9999,continue,manual,5.99,FALSE,
digi-state-arizona,"Arizona Birding Life List Checklist Printable, Birdwatch Log","<p>Arizona Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-ARIZONA,0,,9999,continue,manual,5.99,FALSE,
digi-state-oregon,"Oregon Birding Life List Checklist Printable, Birdwatch Log","<p>Oregon Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-OREGON,0,,9999,continue,manual,5.99,FALSE,
