sku,channel,checkout_url,status
DIGI-WARBLER-BUNDLE-001,etsy,,ready
DIGI-STATE-CALIFORNIA,etsy,,ready
DIGI-STATE-TEXAS,etsy,,ready
DIGI-STATE-FLORIDA,etsy,,ready
DIGI-STATE-NEW-YORK,etsy,,ready
DIGI-STATE-WASHINGTON,etsy,,ready
DIGI-STATE-COLORADO,etsy,,ready
DIGI-STATE-NORTH-CAROLINA,etsy,,ready
DIGI-STATE-ARIZONA,etsy,,ready
DIGI-STATE-OREGON,etsy,,ready
DIGI-STATE-PENNSYLVANIA,etsy,,ready
DIGI-MIGRATION-WEEKLY-001,etsy,,draft
DIGI-MIGRATION-WEEKLY-002,etsy,,draft
DIGI-MIGRATION-WEEKLY-003,etsy,,draft
DIGI-MIGRATION-WEEKLY-004,etsy,,draft
DIGI-MIGRATION-WEEKLY-005,etsy,,draft
DIGI-MIGRATION-WEEKLY-006,etsy,,draft
DIGI-MIGRATION-WEEKLY-007,etsy,,draft
DIGI-MIGRATION-WEEKLY-008,etsy,,draft
DIGI-MIGRATION-WEEKLY-009,etsy,,draft
