sku,pin_hook,pin_description,image_prompt
DIGI-WARBLER-BUNDLE-001,Track warbler season like a pro,Printable warbler journal bundle for spring migration sightings,"vintage field guide style flat lay, printable pages, earth tones, birdwatch notebook, clean typography"
DIGI-STATE-CALIFORNIA,California birding life list,Printable California bird checklist for local patch birders,"California birds checklist printable cover, naturalist style, sage green and cream"
DIGI-STATE-TEXAS,Texas birding life list,Track Texas sightings with a clean printable life list,"Texas bird checklist printable, field guide aesthetic"
DIGI-STATE-FLORIDA,Florida birding life list,Florida-focused bird watcher printable checklist,"Florida birding printable cover, vintage naturalist look"
DIGI-STATE-NEW-YORK,New York birding life list,New York bird checklist instant download,"New York bird checklist poster style printable"
DIGI-STATE-WASHINGTON,Washington birding life list,Washington checklist for backyard + trail birding,"Washington birds checklist printable, evergreen palette"
DIGI-STATE-COLORADO,Colorado birding life list,Colorado birds checklist for mountain + plains sightings,"Colorado birding printable, field guide vintage"
DIGI-STATE-NORTH-CAROLINA,North Carolina birding life list,North Carolina printable checklist for bird watchers,"North Carolina bird checklist printable in earthy tones"
DIGI-STATE-ARIZONA,Arizona birding life list,Arizona birding life list printable for desert + mountain habitats,"Arizona bird checklist printable cover"
DIGI-STATE-OREGON,Oregon birding life list,Oregon life list printable for local birders,"Oregon bird checklist printable naturalist look"
DIGI-STATE-PENNSYLVANIA,Pennsylvania birding life list,Pennsylvania bird checklist for county birding,"Pennsylvania bird checklist printable"
DIGI-MIGRATION-WEEKLY-001,Spring migration weekly tracker,Weekly migration planner printable for species arrival logs,"migration tracker printable sheet, clean grid, birdwatching"
DIGI-MIGRATION-WEEKLY-002,Migration first-seen dates,Record first sightings each week,"bird migration tracking printable template"
DIGI-MIGRATION-WEEKLY-003,Build your migration archive,Printable migration log for repeat spring seasons,"bird migration journal printable"
DIGI-MIGRATION-WEEKLY-004,Know peak movement windows,Track peak dates by species,"migration tracker birding worksheet"
DIGI-MIGRATION-WEEKLY-005,Upgrade your field notes,Simple migration checklist for active birders,"field notes migration printable"
DIGI-MIGRATION-WEEKLY-006,Better local patch records,Record arrivals and trends by location,"birding local patch migration tracker"
DIGI-MIGRATION-WEEKLY-007,Plan better dawn sessions,Use weekly tracker to time outings,"birding planner printable migration"
DIGI-MIGRATION-WEEKLY-008,Organize migration season,Printable sheet to log first arrivals,"migration printable minimal design"
DIGI-MIGRATION-WEEKLY-009,Never miss the movement,Spring migration printable for serious birders,"bird migration checklist printable"
